2023-10-01,410.5
2023-10-02,412.3
2023-10-03,409.8
2023-10-04,411.2
2023-10-05,414.0
2023-10-06,413.5
2023-10-07,415.1
2023-10-08,412.7
2023-10-09,410.2
2023-10-10,411.8
2023-10-11,413.0
2023-10-12,414.5
2023-10-13,416.3
2023-10-14,415.8
2023-10-15,413.7
2023-10-16,412.1
2023-10-17,411.0
2023-10-18,414.9
2023-10-19,416.7
2023-10-20,418.2
2023-10-21,417.5
2023-10-22,419.0
2023-10-23,420.1
2023-10-24,421.3
2023-10-25,419.8
2023-10-26,418.5
2023-10-27,417.0
2023-10-28,416.2
2023-10-29,415.4
2023-10-30,414.8
2023-10-31,413.2
